OpCode	Mnemonic	AddrMode	Description	Bytes	Cycles	T0_0	T0_1	T1_0	T1_1	T2_0	T2_1	T3_0	T3_1	T4_0	T4_1	T5_0	T5_1	T6_0	T6_1	T7_0	T7_1	T8_0	T8_1	T9_0	T9_1	T10_0	T10_1	T11_0	T11_1	T12_0	T12_1	T13_0	T13_1	T14_0	T14_1	T15_0	T15_1
0x9B			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x9C			(P65C02)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x9D	STA abs,X	absolute,X	Store Accumulator in Memory	3	5	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Dummy	Dummy	Put Data Addr	Write Data	Put out PC Addr	Fetch Instruction Code																				
0x9E			(P65C02)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x9F			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0xA0	LDY #	immediate	Load Index Y with Memory	2	2	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read #	Put out PC Addr	Fetch Instruction Code																										
0xA1	LDA (ind,X)	(indirect,X)	Load Accumulator with Memory	2	6	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d and X	Load d+X to AL	Finish Cycle	Put out AR 	Read Low Addr	Next AR	Read High Addr	Put out Data Addr	Read Data	Put out PC Addr	Fetch Instruction Code																		
0xA2	LDX #	immediate	Load Index X with Memory	2	2	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load Immediate to X	Put out PC Addr	Fetch Instruction Code																										
0xA3			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0xA4	LDY zpg	zeropage	Load Index Y with Memory	2	3	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																								
0xA5	LDA zpg	zeropage	Load Accumulator with Memory	2	3	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																								
0xA6	LDX zpg	zeropage	Load Index X with Memory	2	3	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																								
0xA7			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0xA8	TAY	implied	Transfer Accumulator to Index Y	1	2	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load Y to ALU_A	Put out PC Addr	Fetch Instruction Code																										
0xA9	LDA #	immediate	Load Accumulator with Memory	2	2	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load Immediate to A	Put out PC Addr	Fetch Instruction Code																										
0xAA	TAX	implied	Transfer Accumulator to Index X	1	2	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load Y to ALU_A	Put out PC Addr	Fetch Instruction Code																										
0xAB			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0xAC	LDY abs	absolute	Load Index Y with Memory	3	4	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Put out PC Addr	Fetch Instruction Code																						
0xAD	LDA abs	absolute	Load Accumulator with Memory	3	4	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Put out PC Addr	Fetch Instruction Code																						
0xAE	LDX abs	absolute	Load Index X with Memory	3	4	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Put out PC Addr	Fetch Instruction Code																						
0xAF			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0xB0	BCS rel	relative	Branch on Carry Set(branch on C = 1)	2	2**	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read r, Set Cond	Put out PC Addr	Fetch Instruction Code																										
0xB1	LDA (ind),Y	(indirect),Y	Load Accumulator with Memory	2	5*	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read operand	Put out ZP addr	Read Low Addr	Next ZP addr	Read High Addr	Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																				
0xB2			(P65C02)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0xB3			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0xB4	LDY zpg,X	zeropage,X	Load Index Y with Memory	2	4	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Store result, PC out	Fetch Instruction Code																						
0xB5	LDA zpg,X	zeropage,X	Load Accumulator with Memory	2	4	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Store result, PC out	Fetch Instruction Code																						
0xB6	LDX zpg,Y	zeropage,Y	Load Index X with Memory	2	4	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Store result, PC out	Fetch Instruction Code																						
0xB7			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
