OpCode	Mnemonic	AddrMode	Description	Bytes	Cycles	T0_0	T0_1	T1_0	T1_1	T2_0	T2_1	T3_0	T3_1	T4_0	T4_1	T5_0	T5_1	T6_0	T6_1	T7_0	T7_1	T8_0	T8_1	T9_0	T9_1	T10_0	T10_1	T11_0	T11_1	T12_0	T12_1	T13_0	T13_1	T14_0	T14_1	T15_0	T15_1
0x41	EOR (ind,X)	(indirect,X)	Exclusive-OR Memory with Accumulator	2	6	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d and X	Load d+X to AL	Finish Cycle	Put out AR 	Read Low Addr	Next AR	Read High Addr	Put out Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																		
0x42			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x43			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x44			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x45	EOR zpg	zeropage	Exclusive-OR Memory with Accumulator	2	3	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																								
0x46	LSR zpg	zeropage	Shift One Bit Right (Memory or Accumulator)	2	5	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Put out AR addr	Write Result	dummy	dummy	Put out PC Addr	Fetch Instruction Code																				
0x47			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x48	PHA	implied	Push Accumulator on Stack	1	3	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Init SP decrement	Load SP-1 to AL	Write SR to Stack	Put out PC Addr	Fetch Instruction Code																								
0x49	EOR #	immediate	Exclusive-OR Memory with Accumulator	2	2	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read #	Store result, PC out	Fetch Instruction Code																										
0x4A	LSR A	accumulator	Shift One Bit Right (Memory or Accumulator)	1	2	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load A to ALU	Store result, PC out	Fetch Instruction Code																										
0x4B			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x4C	JMP abs	absolute	Jump to New Location	3	3	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low addr	Put out next addr	Read High addr	Put out PC Addr	Fetch Instruction Code																								
0x4D	EOR abs	absolute	Exclusive-OR Memory with Accumulator	3	4	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Store result, PC out	Fetch Instruction Code																						
0x4E	LSR abs	absolute	Shift One Bit Right (Memory or Accumulator)	3	6	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Put out absolute addr	Write Result	dummy	dummy	Put out PC Addr	Fetch Instruction Code																		
0x4F			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x50	BVC rel	relative	Branch on Overflow Clear (branch on V = 0)	2	2**	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read r, Set Cond	Put out PC Addr	Fetch Instruction Code																										
0x51	EOR (ind),Y	(indirect),Y	Exclusive-OR Memory with Accumulator	2	5*	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read operand	Put out ZP addr	Read Low Addr	Next ZP addr	Read High Addr	Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																				
0x52			(P65C02)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x53			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x54			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x55	EOR zpg,X	zeropage,X	Exclusive-OR Memory with Accumulator	2	4	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Store result, PC out	Fetch Instruction Code																						
0x56	LSR zpg,X	zeropage,X	Shift One Bit Right (Memory or Accumulator)	2	6	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Data Addr Out	Write Data	dummy	dummy	Put out PC Addr	Fetch Instruction Code																		
0x57			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x58	CLI	implied	Clear Interrupt Disable Bit(0 -> I)	1	2	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Clear CY 	Put out PC Addr	Fetch Instruction Code																										
0x59	EOR abs,Y	absolute,Y	Exclusive-OR Memory with Accumulator	3	4*	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Put Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																						
0x5A			(P65C02)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x5B			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x5C			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x5D	EOR abs,X	absolute,X	Exclusive-OR Memory with Accumulator	3	4*	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Put Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																						
0x5E	LSR abs,X	absolute,X	Shift One Bit Right (Memory or Accumulator)	3	7	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	dummy	dummy	AR out	Read Data	AR out	Write Result	dummy	dummy	Put out PC Addr	Fetch Instruction Code																
0x5F			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x60	RTS	implied	Return from Subroutine	1	6	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Init SP increment	Pre-load incr SP	Load SP* to SP	Put out SP addr	Read PCL	Load next SP	Read PCH	Put out PC addr	Increment PC	Put out PC Addr	Fetch Instruction Code																		
0x61	ADC (ind,X)	(indirect,X)	Add Memory to Accumulator with Carry	2	6	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d and X	Load d+X to AL	Finish Cycle	Put out AR 	Read Low Addr	Next AR	Read High Addr	Put out Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																		
0x62			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x63			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x64			(P65C02)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x65	ADC zpg	zeropage	Add Memory to Accumulator with Carry	2	3	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																								
0x66	ROR zpg	zeropage	Rotate One Bit Right (Memory or Accumulator)	2	5	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Put out AR addr	Write ZP location	Set NZ flags	dummy	Put out PC Addr	Fetch Instruction Code																				
0x67			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x68	PLA	implied	Pull Accumulator from Stack	1	4	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Prepare SP decrement	Load decremented SP	Update SP	Put out SP Addr	Read SP Location	Put out PC Addr	Fetch Instruction Code																						
0x69	ADC #	immediate	Add Memory to Accumulator with Carry	2	2	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read #	Store result, PC out	Fetch Instruction Code																										
0x6A	ROR A	accumulator	Rotate One Bit Right (Memory or Accumulator)	1	2	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load A to ALU	Store result, PC out	Fetch Instruction Code																										
0x6B			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x6C	JMP (ind)	indirect	Jump to New Location	3	5	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low addr	Put out next addr	Read High addr	Put out Mem Addr	Read Low Addr	Putout Next AR	Read High Addr	Put out PC Addr	Fetch Instruction Code																				
0x6D	ADC abs	absolute	Add Memory to Accumulator with Carry	3	4	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Store result, PC out	Fetch Instruction Code																						
0x6E	ROR abs	absolute	Rotate One Bit Right (Memory or Accumulator)	3	6	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Put out absolute addr	Write Result	dummy	dummy	Put out PC Addr	Fetch Instruction Code																		
0x6F			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x70	BVS rel	relative	Branch on Overflow Set (branch on V = 1)	2	2**	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read r, Set Cond	Put out PC Addr	Fetch Instruction Code																										
0x71	ADC (ind),Y	(indirect),Y	Add Memory to Accumulator with Carry	2	5*	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read operand	Put out ZP addr	Read Low Addr	Next ZP addr	Read High Addr	Data Addr & BCD switch	Read Data	Store result, PC out	Fetch Instruction Code																				
0x72			(P65C02)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x73			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x74			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x75	ADC zpg,X	zeropage,X	Add Memory to Accumulator with Carry	2	4	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Store result, PC out	Fetch Instruction Code																						
0x76	ROR zpg,X	zeropage,X	Rotate One Bit Right (Memory or Accumulator)	2	6	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Data Addr Out	Write Data	dummy	dummy	Put out PC Addr	Fetch Instruction Code																		
0x77			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x78	SEI	implied	Set Interrupt Disable Status(1 -> I)	1	2	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Set Interrupt disable	Put out PC Addr	Fetch Instruction Code																										
0x79	ADC abs,Y	absolute,Y	Add Memory to Accumulator with Carry	3	4*	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Put Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																						
0x7A			(P65C02)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x7B			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x7C			(P65C02)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x7D	ADC abs,X	absolute,X	Add Memory to Accumulator with Carry	3	4*	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Put Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																						
0x7E	ROR abs,X	absolute,X	Rotate One Bit Right (Memory or Accumulator)	3	7	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	dummy	dummy	AR out	Read Data	AR out	Write Result	dummy	dummy	Put out PC Addr	Fetch Instruction Code																
0x7F			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x80			(P65C02)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x81	STA (ind,X)	(indirect,X)	Store Accumulator in Memory	2	6	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d and X	Load d+X to AL	Finish Cycle	Put out AR 	Read Low Addr	Next AR	Read High Addr	Put out Data Addr	Write Data	Put out PC Addr	Fetch Instruction Code																		
0x82			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x83			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x84	STY zpg	zeropage	Store Index Y in Memory	2	3	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Write ZP location	Put out PC Addr	Fetch Instruction Code																								
0x85	STA zpg	zeropage	Store Accumulator in Memory	2	3	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Write ZP location	Put out PC Addr	Fetch Instruction Code																								
0x86	STX zpg	zeropage	Store Index X in Memory	2	3	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Write ZP location	Put out PC Addr	Fetch Instruction Code																								
0x87			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x88	DEY	implied	Decrement Index Y by One	1	2	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load Y to ALU_A	Store result, PC out	Fetch Instruction Code																										
0x89			(P65C02)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x8A	TXA	implied	Transfer Index X to Accumulator	1	2	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load Y to ALU_A	Put out PC Addr	Fetch Instruction Code																										
